<jemalloc>: option background_thread currently supports pthread only
           _                 _    
  __ _  __| |_ __ __ _ _ __ | |_  
 / _` |/ _` | '__/ _` | '_ \| __| 
| (_| | (_| | | | (_| | | | | |_  
 \__, |\__,_|_|  \__,_|_| |_|\__| 
    |_|                           

Version: 1.18.2, build: 44ad62f8
Access web UI at http://localhost:6333/dashboard
Agentic Skills: https://skills.qdrant.tech/

2026-07-05T14:26:49.419415Z  WARN qdrant::settings: Config file not found: config/config
2026-07-05T14:26:49.420214Z  WARN qdrant::settings: Config file not found: config/development
2026-07-05T14:26:49.421862Z  INFO storage::content_manager::consensus::persistent: Initializing new raft state at /Users/anzarakhtar/AIOS/qdrant/storage/raft_state.json
2026-07-05T14:26:49.456468Z  INFO qdrant: Distributed mode disabled
2026-07-05T14:26:49.457378Z  INFO qdrant: Telemetry reporting enabled, id: dc7af535-22d9-4163-96d9-d70616022748
2026-07-05T14:26:49.466106Z  WARN qdrant::actix::web_ui: Static content folder for Web UI './static' does not exist
2026-07-05T14:26:49.466565Z  INFO qdrant::actix: REST transport settings: keep_alive=5s, client_request_timeout=5s, client_disconnect_timeout=5s
2026-07-05T14:26:49.466572Z  INFO qdrant::actix: TLS disabled for REST API
2026-07-05T14:26:49.466926Z  INFO qdrant::actix: Qdrant HTTP listening on 6333
2026-07-05T14:26:49.466941Z  INFO actix_server::builder: starting 9 workers
2026-07-05T14:26:49.466976Z  INFO actix_server::server: Actix runtime found; starting in Actix runtime
2026-07-05T14:26:49.466980Z  INFO actix_server::server: starting service: "actix-web-service-127.0.0.1:6333", workers: 9, listening on: 127.0.0.1:6333
2026-07-05T14:26:49.468128Z  INFO qdrant::tonic: Qdrant gRPC listening on 6334
2026-07-05T14:26:49.468141Z  INFO qdrant::tonic: TLS disabled for gRPC API
2026-07-05T14:27:05.223819Z  INFO actix_web::middleware::logger: 127.0.0.1 "GET /collections HTTP/1.1" 200 85 "-" "python-client/1.18.0 python/3.14.5" 0.002358
2026-07-05T14:27:05.226336Z  INFO storage::content_manager::toc::collection_meta_ops: Deleting collection test_validation_collection
2026-07-05T14:27:05.226987Z  INFO actix_web::middleware::logger: 127.0.0.1 "DELETE /collections/test_validation_collection HTTP/1.1" 200 72 "-" "python-client/1.18.0 python/3.14.5" 0.001964
2026-07-05T14:27:05.229304Z  INFO storage::content_manager::toc::collection_meta_ops: Creating collection test_validation_collection
2026-07-05T14:27:05.522274Z  INFO actix_web::middleware::logger: 127.0.0.1 "PUT /collections/test_validation_collection HTTP/1.1" 200 71 "-" "python-client/1.18.0 python/3.14.5" 0.294350
2026-07-05T14:27:05.533439Z  INFO actix_web::middleware::logger: 127.0.0.1 "PUT /collections/test_validation_collection/points?wait=true HTTP/1.1" 200 91 "-" "python-client/1.18.0 python/3.14.5" 0.008068
2026-07-05T14:27:41.394945Z  INFO actix_web::middleware::logger: 127.0.0.1 "GET /collections HTTP/1.1" 200 101 "-" "python-client/1.18.0 python/3.14.5" 0.000086
2026-07-05T14:27:41.396606Z  INFO actix_web::middleware::logger: 127.0.0.1 "GET /collections/test_validation_collection/exists HTTP/1.1" 200 79 "-" "python-client/1.18.0 python/3.14.5" 0.000779
